date,nvda_open,nvda_high,nvda_low,nvda_close,nvda_volume,btc_open,btc_high,btc_low,btc_close,btc_volume,nvda_monthly_return_pct,btc_monthly_return_pct,nvda_cum_return,btc_cum_return,nvda_monthly_range_pct,btc_monthly_range_pct
2024-04,90.2481,92.173,75.5634,86.3533,10072334000,71333.4844,72715.3594,59120.0664,60636.8555,1016068331704,-4.3715,-14.9954,1467.5585,648.4858,19.2345,22.4208
2024-05,85.029,115.7537,81.2092,109.5712,9645174000,60609.4961,71946.4609,56555.293,67491.4141,874291509757,26.8871,11.3043,1862.1423,721.7924,31.527,22.8046
2024-06,113.5569,140.6806,111.9398,123.4703,7424176700,67489.6094,71907.8516,58601.6992,62678.293,726773965644,12.6851,-7.1315,2098.3562,670.3181,23.2775,21.2293
2024-07,123.4105,136.0844,102.4906,116.9636,6405438600,62673.6055,69987.5391,53717.375,64619.25,953395573307,-5.2699,3.0967,1987.7755,691.0759,28.7216,25.1785
2024-08,117.4734,131.1967,90.6463,119.3125,8105367800,64625.8398,65593.2422,49121.2383,58969.8984,1043105485208,2.0082,-8.7425,2027.6942,630.6584,33.9868,27.9329
2024-09,115.9541,127.6085,100.9014,121.3815,6271163200,58969.8008,66480.6953,52598.6992,63329.5,879117914822,1.7341,7.3929,2062.8567,677.2825,22.0026,21.9203
2024-10,121.7217,144.3628,115.0944,132.7074,5627917200,63335.6055,73577.2109,58895.207,70215.1875,993732418048,9.3308,10.8728,2255.3383,750.9221,22.0548,20.91
2024-11,134.6466,152.8294,131.7478,138.1952,4497414600,70216.8984,99655.5,66803.6484,96449.0547,2055808875264,4.1353,37.3621,2348.6029,1031.4823,15.255,34.0614
2024-12,138.775,146.4819,126.8097,134.2368,4085855200,96461.3359,108268.4453,91317.1328,93429.2031,2057355570135,-2.8644,-3.131,2281.33,999.1863,14.6548,18.1435
2025-01,135.9555,153.0798,116.2119,120.0307,5948400800,93425.1016,109114.8828,89260.1016,102405.0234,1668843382017,-10.5829,9.6071,2039.8998,1095.1789,30.7154,19.3885
2025-02,114.7124,143.393,112.973,124.8791,4755230400,102402.7969,102755.7266,78248.9141,84373.0078,1257276788562,4.0393,-17.6085,2122.2977,902.334,24.3596,29.0458
2025-03,123.4695,123.6595,103.6161,108.3445,6177950300,84373.8672,95043.4375,76624.25,82548.9141,1049435373908,-13.2405,-2.1619,1841.2954,882.8261,18.4997,22.3131
2025-04,108.4944,115.0729,86.5996,108.8943,6811006400,82551.9219,95768.3906,74436.6797,94207.3125,1060974068310,0.5075,14.123,1850.6398,1007.5078,26.1476,22.6434
